,BereichsId,Ktonr,Belegdatum,BU_Schl,GKtonr,Steuersatz,EUStSatz,Belegfeld2,Umsatz_Soll,Umsatz_Haben,EingegUmsatz_SHKz,EingegUmsatz,WKz_eingeg_Umsatz,Kurs,Basiswaehrung,Stapelnummer,BSNr,Kost1,Kost2,Menge1Wert,Kennung_EB,WjMonat,Buchungstyp,Bearbeitungsstatus,Belegpruefungsstatus,Kontobewegungstyp,Kontorolle,Folgebuchungszaehler,AbwBesteuerungsart,SachverhaltLuL,FunktionsergLuL,HauptfktTypSchl49,HauptfktNrSchl49,FktErgSchl49,Herkunftskz,Beleglink,Beleginfo_Art1,Beleginfo_Inhalt1,Beleginfo_Art2,Beleginfo_Inhalt2,Beleginfo_Art3,Beleginfo_Inhalt3,Beleginfo_Art4,Beleginfo_Inhalt4,Beleginfo_Art5,Beleginfo_Inhalt5,Beleginfo_Art6,Beleginfo_Inhalt6,Beleginfo_Art7,Beleginfo_Inhalt7,Beleginfo_Art8,Beleginfo_Inhalt8,Stapelidentifikator,Belegidentifikator,Stueck,Gewicht,Gesellschaftername,Beteiligtennummer,Identifikationsnummer,Zeichnernummer,Leistungsdatum,UVA Steuermonat
80367,10,20569,28.06.2014,0.0,8640,0.0,0.0,0,30.882266,0.0,S,0.0,EUR,0.0,EUR,06-2014/0001,575,0.0,0.0,0.0,0,6,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44828,10,1776,19.09.2014,3.0,10398,7.0,0.0,0,12.773058,0.0,S,0.0,EUR,0.0,EUR,09-2014/0001,1374,0.0,0.0,0.0,0,9,1,10,1,5,1,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2658,10,1200,24.03.2014,94.0,4730,6.0,0.0,0,0.0,269.616,H,0.0,EUR,0.0,EUR,03-2014/0001,1622,0.0,0.0,0.0,0,3,1,10,1,1,2,1,-,1,0,36,1,1,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29191,10,1576,14.03.2014,9.0,71707,19.0,0.0,0,0.0,173.868618,H,0.0,EUR,0.0,EUR,03-2014/0001,1317,0.0,0.0,0.0,0,3,1,10,1,3,1,2,-,0,0,30,1,1,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40731,10,1776,15.05.2014,0.0,10938,19.0,0.0,0,118.541168,0.0,H,0.0,EUR,0.0,EUR,05-2014/0001,470,0.0,0.0,0.0,0,5,1,10,1,5,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37142,10,1776,16.01.2014,3.0,11116,19.0,0.0,0,78.52566,0.0,S,0.0,EUR,0.0,EUR,01-2014/0001,867,0.0,0.0,0.0,0,1,1,10,1,5,1,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32274,10,1400,12.10.2015,0.0,1369,0.0,0.0,15195.0,0.0,5510.277,H,0.0,EUR,0.0,EUR,10-2015/0001,699,0.0,0.0,0.0,0,10,1,10,1,2,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13086,10,1369,21.04.2015,0.0,21189,0.0,0.0,15075.0,606.040598,0.0,S,0.0,EUR,0.0,EUR,04-2015/0001,1132,0.0,0.0,0.0,0,4,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,1132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12146,10,1400,01.01.2014,0.0,9008,0.0,0.0,0,2091.501184,0.0,H,0.0,EUR,0.0,EUR,01-2014/0001,1235,0.0,0.0,0.0,1,1,1,10,1,2,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44587,10,11656,10.04.2015,0.0,1776,19.0,0.0,0,1954.671064,0.0,H,0.0,EUR,0.0,EUR,03-2015/0001,2154,0.0,0.0,0.0,0,3,1,10,1,5,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,2154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45559,10,14868,15.10.2014,3.0,1776,19.0,0.0,0,8.20082,0.0,S,0.0,EUR,0.0,EUR,10-2014/0001,1301,0.0,0.0,0.0,0,10,1,10,1,5,1,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45871,10,1776,24.10.2014,3.0,10612,19.0,0.0,0,3.291562,0.0,S,0.0,EUR,0.0,EUR,10-2014/0001,1557,0.0,0.0,0.0,0,10,1,10,1,5,1,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54332,10,4121,29.05.2015,0.0,1755,0.0,0.0,0,7426.920974,0.0,S,0.0,EUR,0.0,EUR,05-2015/0001,1662,0.0,0.0,0.0,0,5,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314,1662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10410,10,1369,26.01.2015,0.0,12854,6.0,0.0,15016.0,0.0,332.58257,S,0.0,EUR,0.0,EUR,01-2015/0005,356,0.0,0.0,0.0,0,1,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303,356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5287,10,1200,11.06.2014,3.0,17814,6.0,0.0,0,2562.565272,0.0,S,0.0,EUR,0.0,EUR,06-2014/0001,1412,0.0,0.0,0.0,0,6,1,10,1,1,1,1,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75533,10,15402,24.07.2015,0.0,8640,0.0,0.0,0,167.10575,0.0,S,0.0,EUR,0.0,EUR,07-2015/0001,2514,0.0,0.0,0.0,0,7,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12702,10,8640,29.01.2014,0.0,1400,19.0,0.0,0,0.0,133.6846,S,0.0,EUR,0.0,EUR,01-2014/0001,675,0.0,0.0,0.0,0,1,1,10,1,2,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52738,10,1787,30.10.2015,0.0,70303,0.0,0.0,0,0.0,99.578176,H,0.0,EUR,0.0,EUR,11-2015/0001,2057,0.0,0.0,0.0,0,11,1,10,1,5,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78811,10,8400,26.09.2015,0.0,20883,19.0,0.0,0,333.672268,0.0,S,0.0,EUR,0.0,EUR,09-2015/0001,1968,0.0,0.0,0.0,0,9,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66064,10,8736,29.04.2015,0.0,1369,7.0,0.0,15081.0,0.0,21.030048,S,0.0,EUR,0.0,EUR,04-2015/0001,1594,0.0,0.0,0.0,0,4,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,1594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15871,10,1400,09.04.2014,3.0,8736,0.0,0.0,0,0.0,15.345644,H,0.0,EUR,0.0,EUR,04-2014/0001,1361,0.0,0.0,0.0,0,4,1,10,1,2,2,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46677,10,1776,05.06.2015,0.0,1369,19.0,0.0,15104.0,1.01106,0.0,S,0.0,EUR,0.0,EUR,06-2015/0001,292,0.0,0.0,0.0,0,6,1,10,1,5,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10720,10,647,10.10.2014,0.0,1360,0.0,0.0,0,0.0,670.018228,H,0.0,EUR,0.0,EUR,09-2014/0001,107,0.0,0.0,0.0,0,9,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66704,10,1369,26.06.2015,0.0,8736,19.0,0.0,15119.0,96.174274,0.0,S,0.0,EUR,0.0,EUR,06-2015/0001,1477,0.0,0.0,0.0,0,6,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68730,10,8736,12.11.2014,3.0,10561,0.0,0.0,0,8.48167,0.0,H,0.0,EUR,0.0,EUR,11-2014/0001,998,0.0,0.0,0.0,0,11,1,10,1,1,2,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75641,10,14544,06.03.2014,0.0,8640,0.0,0.0,0,27.287386,0.0,S,0.0,EUR,0.0,EUR,02-2014/0001,401,0.0,0.0,0.0,0,2,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24099,10,1400,06.03.2015,0.0,8400,0.0,0.0,0,709.067612,0.0,S,0.0,EUR,0.0,EUR,02-2015/0001,1166,0.0,0.0,0.0,0,2,1,10,1,2,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80765,10,8736,28.09.2014,3.0,20739,0.0,0.0,0,0.0,13.70548,H,0.0,EUR,0.0,EUR,09-2014/0001,1335,0.0,0.0,0.0,0,9,1,10,1,1,2,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74443,10,8401,31.08.2015,0.0,13768,0.0,0.0,0,0.0,21.816428,S,0.0,EUR,0.0,EUR,08-2015/0001,1921,0.0,0.0,0.0,0,8,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27436,10,1400,08.06.2015,0.0,8640,19.0,0.0,60615.0,17.24419,0.0,S,0.0,EUR,0.0,EUR,05-2015/0001,2282,0.0,0.0,0.0,0,5,1,10,1,2,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20206,10,1400,06.07.2014,0.0,8400,0.0,0.0,0,0.0,88.714898,S,0.0,EUR,0.0,EUR,06-2014/0001,795,0.0,0.0,0.0,0,6,1,10,1,2,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5759,10,1200,30.06.2014,0.0,12235,0.0,0.0,0,8477.446016,0.0,S,0.0,EUR,0.0,EUR,06-2014/0001,1907,0.0,0.0,0.0,0,6,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20566,10,1369,09.10.2015,0.0,1200,0.0,0.0,15194.0,0.0,709.067612,H,0.0,EUR,0.0,EUR,10-2015/0001,617,0.0,0.0,0.0,0,10,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51413,10,4650,19.12.2014,0.0,9090,0.0,0.0,0,3.03318,0.0,S,0.0,EUR,0.0,EUR,12-2014/0001,1316,0.0,0.0,0.0,0,12,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4119,10,9090,08.05.2014,0.0,1200,0.0,0.0,0,0.0,2.69616,H,0.0,EUR,0.0,EUR,05-2014/0001,1151,0.0,0.0,0.0,0,5,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63783,10,8640,26.01.2015,0.0,16630,19.0,0.0,30215.0,48.3062,0.0,H,0.0,EUR,0.0,EUR,01-2015/0005,702,0.0,0.0,0.0,0,1,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303,702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7964,10,1200,16.10.2015,0.0,1369,0.0,0.0,15199.0,1339.0928,0.0,S,0.0,EUR,0.0,EUR,10-2015/0001,947,0.0,0.0,0.0,0,10,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60380,10,19488,05.10.2014,0.0,8640,19.0,0.0,0,0.0,23.411656,H,0.0,EUR,0.0,EUR,09-2014/0001,773,0.0,0.0,0.0,0,9,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49909,10,4380,27.07.2014,0.0,1200,0.0,0.0,0,7.41444,0.0,S,0.0,EUR,0.0,EUR,07-2014/0001,1700,0.0,0.0,0.0,0,7,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19988,10,8736,23.06.2014,3.0,1400,0.0,0.0,0,0.0,134.92034,H,0.0,EUR,0.0,EUR,06-2014/0001,1639,0.0,0.0,0.0,0,6,1,10,1,2,2,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25703,10,1400,15.04.2015,0.0,8640,0.0,0.0,0,20.805368,0.0,S,0.0,EUR,0.0,EUR,04-2015/0001,1997,0.0,0.0,0.0,0,4,1,10,1,2,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72908,10,11702,11.10.2014,3.0,8736,19.0,0.0,0,0.0,50.092406,H,0.0,EUR,0.0,EUR,10-2014/0001,887,0.0,0.0,0.0,0,10,1,10,1,1,2,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19596,10,1369,18.09.2015,0.0,21338,19.0,0.0,15179.0,370.935446,0.0,S,0.0,EUR,0.0,EUR,09-2015/0001,953,0.0,0.0,0.0,0,9,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25358,10,1400,07.04.2015,0.0,1369,0.0,0.0,15065.0,0.0,1532.609684,H,0.0,EUR,0.0,EUR,04-2015/0001,362,0.0,0.0,0.0,0,4,1,10,1,2,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20199,10,1400,26.06.2014,0.0,8400,7.0,0.0,0,4602.828182,0.0,S,0.0,EUR,0.0,EUR,06-2014/0001,788,0.0,0.0,0.0,0,6,1,10,1,2,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83766,10,72001,16.04.2014,19.0,3748,6.0,0.0,0,0.0,224.533958,S,0.0,EUR,0.0,EUR,04-2014/0001,1614,0.0,0.0,0.0,0,4,1,10,1,1,2,2,-,0,0,54,1,1,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21859,10,1369,13.11.2015,0.0,8736,0.0,0.0,15219.0,0.0,28.096234,H,0.0,EUR,0.0,EUR,11-2015/0001,730,0.0,0.0,0.0,0,11,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2567,10,9090,20.03.2014,0.0,1200,0.0,0.0,0,0.0,17.041978,H,0.0,EUR,0.0,EUR,03-2014/0001,1514,0.0,0.0,0.0,0,3,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
